"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200"
"Cell11",0,0,0,0,0,0,224,0,0,0,3407,0,430,325,0,0,760,0,0,0,0,3359,0,175,227,162,165,0,0,350,0,0,0,472,0,166,44,138,155,31,341,0,0,141,0,5311,0,0,4871,0,306,0,40,0,153,0,0,0,0,0,0,642,0,0,356,65,0,152,1775,9,0,0,0,0,0,0,0,0,0,88,263,20,0,0,655,0,0,0,0,0,0,0,472,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,279,0,5731,317,0,0,0,0,82,0,0,0,251,128,0,0,120,200,82,0,100,0,0,179,151,0,0,0,0,0,0,0,571,0,0,0,383,0,0,1723,160,0,0,0,88,193,953,0,0,23,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,63,100,251,0,575,0,0,201,2758,1989,0,178,564,9,0,0,442,1049,0,0
"Cell12",0,39,0,374,0,0,0,0,156,0,3030,0,552,0,0,0,673,0,79,0,0,0,0,159,151,113,194,135,0,335,0,0,0,392,0,176,61,114,0,0,438,142,0,0,0,5989,0,0,5744,0,269,0,0,0,85,0,0,0,0,0,153,440,0,0,0,0,0,0,427,0,60,0,0,0,0,27,0,0,0,0,0,0,0,0,694,0,0,0,0,0,62,0,0,0,743,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,202,0,0,266,0,0,5579,0,0,0,0,0,83,0,246,0,399,119,0,0,0,0,114,0,67,0,55,0,114,0,0,0,0,0,0,0,518,47,0,14,208,396,0,1882,123,46,195,735,0,0,866,0,0,0,0,541,0,0,0,0,0,335,80,0,0,16,0,88,0,124,0,0,26,777,0,0,0,2242,2616,0,245,387,0,0,0,279,985,0,0
"Cell13",21,79,0,0,33,0,261,0,231,0,2941,0,673,0,0,0,803,0,0,0,0,4425,0,0,0,216,0,149,0,0,0,176,0,492,0,160,0,167,133,0,461,0,0,0,0,7327,0,0,6832,0,378,0,0,0,126,0,133,0,0,0,0,548,0,13,459,0,0,252,544,0,0,0,0,48,0,66,52,0,0,0,311,0,0,310,843,0,223,0,990,0,0,7,818,0,996,0,0,0,41,567,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,306,4631,585,0,0,0,0,76,0,303,203,0,189,0,0,0,0,146,0,75,0,0,0,226,222,0,0,0,186,0,0,849,0,0,0,496,383,80,1990,0,0,218,771,0,158,1291,107,0,0,0,760,0,0,0,0,233,0,0,0,0,0,0,71,0,0,53,279,0,1076,0,0,386,0,3660,0,175,671,0,0,0,373,1410,0,0
"Cell14",0,0,0,332,0,0,0,0,168,0,2198,0,533,0,0,0,905,0,73,0,0,3779,0,131,0,0,154,117,0,326,0,0,0,0,0,0,0,0,0,0,445,0,0,0,140,4537,0,0,5012,0,243,0,0,0,142,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,105,0,0,0,0,0,0,86,0,0,0,199,0,0,0,0,889,0,0,0,451,0,0,0,0,0,0,395,0,0,0,25,0,0,0,0,0,173,0,185,0,183,162,311,267,4996,400,0,0,0,0,82,0,250,89,0,129,0,0,0,0,0,0,0,0,0,103,156,0,0,0,0,0,56,0,0,42,0,0,0,259,0,1330,98,0,0,445,41,107,758,0,0,0,134,448,0,0,0,0,58,0,94,29,0,0,0,106,0,54,0,259,0,0,0,0,0,2565,2816,0,0,544,0,0,140,0,819,0,0
"Cell15",0,0,0,321,41,276,262,0,0,0,3412,0,549,329,0,0,0,16,101,0,0,4158,0,240,315,132,249,163,0,389,0,0,60,583,0,0,0,234,0,0,451,0,0,0,227,6541,0,21,6299,0,446,0,0,0,173,0,0,0,0,0,0,0,0,0,370,0,0,0,1308,0,0,0,167,0,0,0,73,0,0,0,394,0,0,318,0,0,0,0,442,0,83,0,644,35,0,0,0,0,0,528,0,142,0,0,0,0,0,0,10,212,0,619,0,0,290,0,295,7516,522,49,0,0,0,0,0,248,141,439,0,0,0,0,0,0,0,128,0,0,206,0,294,0,0,0,114,0,0,487,0,0,0,397,447,0,2375,168,0,121,0,0,0,0,0,0,0,159,799,0,0,3,0,0,264,0,62,0,0,118,155,0,0,0,225,0,955,16,9,429,3004,2152,0,291,548,0,5,0,0,1135,0,117
"Cell16",16,0,0,297,0,183,0,0,0,0,2242,0,427,302,0,0,0,0,0,0,27,2791,0,0,160,117,0,121,0,254,0,0,0,365,0,0,65,122,0,0,306,0,0,0,114,3980,0,0,4608,0,0,0,46,0,0,59,0,0,0,0,71,442,0,0,312,0,0,145,317,0,0,0,0,0,0,0,0,0,132,0,0,0,0,158,503,0,187,0,0,0,0,0,564,0,538,0,0,0,0,436,0,0,0,0,0,0,98,0,0,95,0,141,0,0,188,287,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,74,0,39,0,0,89,85,163,0,0,0,0,0,0,505,0,0,0,270,0,0,1240,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,107,282,0,0,0,0,0,70,0,0,0,152,0,713,0,0,0,2037,2254,0,123,0,0,0,34,285,692,0,0
"Cell17",0,0,0,0,0,161,0,0,121,0,1983,0,405,228,0,0,567,0,0,0,0,3164,0,188,0,0,0,138,41,275,0,0,0,0,0,0,0,119,88,0,0,79,0,0,0,4585,0,0,4918,0,271,0,0,0,0,0,79,26,0,0,0,0,0,0,202,73,0,0,359,0,73,0,0,0,0,40,42,0,0,0,212,0,0,178,0,0,0,0,769,0,0,0,627,0,477,0,0,0,0,412,0,101,0,20,0,0,0,0,0,140,0,0,0,0,228,267,166,3853,423,0,0,0,0,62,0,185,110,269,80,0,0,0,0,0,0,45,0,0,0,138,215,0,77,1,154,0,0,574,0,0,0,0,0,0,0,0,0,0,470,70,0,762,0,0,0,0,460,0,0,0,0,101,203,0,0,0,0,0,80,0,78,0,0,0,769,22,0,201,2351,2160,0,172,353,0,0,0,0,777,0,0
"Cell18",0,0,0,195,0,142,0,22,153,0,1970,0,0,233,0,0,618,0,75,0,0,2694,0,97,228,67,0,0,58,252,0,0,0,373,0,0,0,0,0,0,0,0,0,0,139,3611,0,0,4867,0,229,0,0,0,87,53,61,0,0,0,28,0,0,33,195,35,0,0,322,0,0,0,85,17,0,0,0,51,106,29,230,0,0,0,369,0,0,0,736,0,0,0,463,0,557,0,0,0,0,0,0,95,0,33,0,0,91,0,0,0,0,179,0,201,0,201,0,3854,301,0,0,0,0,77,0,0,78,0,105,0,0,0,0,99,0,0,0,0,0,128,113,0,0,0,131,38,0,306,0,7,0,194,0,0,1105,95,0,0,378,0,0,0,79,0,0,0,0,0,0,0,0,0,198,0,34,0,0,51,96,0,0,124,0,0,463,0,0,175,1789,1808,0,0,0,0,0,0,231,1163,0,0
"Cell19",0,41,0,305,0,0,0,0,0,15,3312,0,461,368,0,15,841,0,0,25,0,4932,0,121,201,129,197,0,0,458,0,138,0,0,0,174,0,177,0,0,378,0,0,192,209,6442,0,0,6173,0,414,0,40,0,194,0,120,0,0,0,0,0,0,0,265,0,0,165,1201,0,0,0,0,0,0,0,0,0,0,80,299,0,0,302,539,0,0,0,0,0,0,0,547,0,699,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,264,274,0,0,5335,0,20,0,0,0,100,32,324,0,0,0,0,0,0,0,111,0,164,0,0,168,157,183,0,83,0,250,0,0,580,0,31,0,285,329,0,1960,154,0,0,0,0,0,1138,0,0,38,137,628,0,0,0,0,0,319,151,0,0,0,0,0,0,0,123,234,25,644,0,0,248,3491,1946,0,159,411,0,0,0,342,912,0,109
"Cell20",0,0,0,325,0,224,347,0,0,0,2956,0,0,313,7,0,756,31,0,0,0,4237,0,214,0,0,205,205,65,393,0,0,0,407,0,168,41,0,0,0,0,111,0,153,192,5916,0,0,5358,0,319,0,0,0,0,0,94,0,0,0,0,486,14,0,0,0,0,136,1620,0,0,0,0,0,0,0,0,0,116,96,0,0,0,0,705,0,0,0,447,0,0,0,575,0,691,0,0,0,0,600,0,118,0,0,0,0,0,0,0,261,0,487,0,0,293,0,0,3946,0,26,0,0,0,0,0,0,0,371,0,114,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,625,69,0,0,304,417,0,1915,0,56,0,524,0,136,886,79,0,22,0,563,0,0,0,0,0,291,72,0,0,0,0,71,0,0,0,250,0,650,0,0,284,2735,2128,0,0,0,0,0,142,265,1147,4,0
"Cell21",0,0,0,0,17,327,292,0,0,0,3968,0,580,0,0,0,1296,0,0,0,0,5078,88,308,352,118,293,0,70,0,0,0,0,757,0,0,0,0,0,0,576,131,0,0,0,6291,0,0,8464,0,349,0,0,0,106,42,138,37,0,0,0,601,0,0,0,0,0,201,659,0,99,0,0,24,0,43,0,0,0,68,386,0,0,311,1136,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,620,10,126,0,0,0,0,0,0,0,184,0,300,0,0,0,0,343,7299,0,0,0,0,0,121,0,0,145,0,0,0,0,193,0,0,0,0,0,0,0,126,264,0,94,0,0,62,0,978,65,0,68,357,489,0,2339,207,51,232,730,178,196,1482,191,0,42,242,0,0,0,0,1,226,0,0,0,0,0,0,114,0,0,135,255,0,1075,0,0,0,3518,3378,0,302,509,0,0,0,502,1617,0,0
"Cell22",0,0,0,321,0,237,198,0,123,0,3165,0,728,0,0,0,849,0,0,0,24,4048,0,0,0,147,244,0,0,405,0,167,0,536,0,172,0,0,198,0,325,77,0,0,0,5980,0,0,5918,0,440,0,0,0,143,0,0,0,0,0,108,483,0,0,0,0,0,0,0,0,0,0,82,0,0,22,0,0,0,0,231,0,0,245,510,0,0,0,918,0,0,0,649,0,667,9,0,0,0,482,0,135,0,0,0,0,0,0,0,140,0,168,0,184,0,339,338,4803,373,0,0,0,0,104,0,0,0,476,0,127,0,156,0,0,0,0,0,0,217,0,280,0,0,0,0,0,0,531,0,0,0,320,0,77,1442,108,0,0,0,78,124,974,128,0,0,0,0,0,0,0,0,0,361,173,0,0,0,0,0,0,0,0,238,28,651,28,0,257,3048,3016,0,223,547,0,0,107,298,1181,0,0
"Cell23",0,59,0,425,0,0,325,0,234,0,4070,0,671,479,0,0,1074,0,110,0,0,5948,0,186,228,183,231,200,90,612,0,205,69,713,0,175,0,214,0,0,0,168,0,171,0,6117,0,0,8911,0,491,0,0,0,0,0,145,0,0,0,127,663,0,0,354,31,0,0,550,23,124,42,0,0,0,50,0,0,0,0,441,20,0,0,1076,0,294,0,1027,0,70,0,825,0,1126,0,0,0,0,605,0,0,0,0,0,0,180,0,0,0,0,227,0,0,327,389,346,5716,935,0,0,0,0,134,0,254,207,0,0,0,0,185,0,0,0,0,0,18,151,0,346,0,0,0,343,0,0,887,0,0,0,394,619,0,2398,0,0,219,1016,0,0,1226,153,0,0,0,541,24,0,0,0,173,0,0,0,0,23,0,0,0,0,136,0,0,1592,0,0,247,3728,3970,31,210,0,0,0,141,0,1793,0,0
"Cell24",29,0,0,547,0,461,0,0,0,0,3968,0,945,568,0,0,1260,0,81,0,59,7164,59,383,333,225,465,320,101,723,0,0,77,765,0,252,0,239,0,0,0,0,0,0,202,0,0,0,10320,0,0,0,0,0,0,64,174,0,0,0,185,1034,0,0,511,0,0,250,0,0,84,14,0,36,0,0,0,53,246,0,421,0,0,0,1033,0,170,0,1245,0,0,0,821,0,1105,0,67,0,0,703,0,192,0,39,0,0,208,0,0,234,0,278,0,0,470,334,343,7364,1027,0,0,0,0,148,0,0,0,484,334,188,0,263,265,0,0,131,0,52,268,0,0,0,0,0,244,0,0,907,86,43,0,423,525,0,2482,0,0,234,951,0,0,2031,0,0,0,244,749,0,0,0,0,226,0,209,0,0,0,122,89,0,137,0,322,33,1406,0,0,0,4046,4577,0,349,917,0,0,155,587,1635,0,152
"Cell25",0,0,13,0,0,309,0,0,133,0,0,0,0,0,0,0,1071,26,0,0,0,3783,0,193,0,0,251,0,0,353,0,0,0,499,0,132,0,0,0,0,401,0,0,0,0,4079,0,0,4176,0,289,0,0,0,0,72,81,33,0,0,149,416,0,0,0,85,0,174,346,0,43,0,90,0,0,0,50,0,95,69,263,0,0,0,0,0,0,0,670,0,0,0,0,0,648,0,0,0,0,0,0,0,24,0,0,0,111,0,27,0,0,0,0,261,262,227,291,4072,401,0,0,0,0,0,0,213,0,0,144,0,0,107,235,0,0,0,0,0,160,0,190,0,58,0,132,66,0,864,0,14,0,0,0,0,1172,114,0,117,535,104,0,0,0,0,22,0,0,0,0,0,0,67,208,0,0,0,0,98,0,0,0,160,0,0,584,22,0,0,2753,2689,0,0,347,0,0,97,280,1150,4,0
"Cell26",0,0,0,226,0,0,0,0,0,0,3284,0,0,460,0,0,0,0,0,0,0,4762,44,0,0,148,0,258,0,372,0,0,0,590,0,260,0,0,105,0,486,0,0,263,137,4466,0,0,7824,0,0,0,0,0,152,0,0,38,0,0,113,497,0,0,339,79,0,171,1773,0,98,0,126,0,0,0,0,0,153,121,0,0,12,0,0,0,0,0,0,0,0,0,703,0,625,0,0,0,0,541,0,0,0,0,0,0,43,0,0,0,0,594,0,0,0,372,239,6022,485,0,0,0,0,0,0,169,99,302,0,100,0,0,180,0,0,183,0,0,0,0,0,0,70,0,158,0,0,0,0,0,0,320,0,0,1964,183,0,0,804,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,128,155,251,0,0,32,0,201,2822,2462,0,233,0,0,0,0,0,1138,0,0
"Cell27",0,0,0,344,0,145,226,0,0,0,2256,0,508,272,0,0,750,0,85,0,0,3510,31,143,224,0,214,0,0,366,0,127,0,475,0,0,0,0,0,0,0,0,0,0,162,4528,0,0,4741,0,0,0,0,0,0,0,0,0,0,0,0,611,0,25,0,0,0,0,1450,0,0,0,0,6,0,0,0,0,0,80,0,0,0,165,0,0,133,0,411,0,0,0,572,0,780,12,0,0,29,0,0,0,0,0,0,0,51,0,0,0,0,422,0,142,272,0,0,5091,337,0,0,0,0,0,0,0,0,330,108,122,0,127,156,0,0,0,0,0,107,162,0,0,0,0,0,0,0,413,0,0,0,0,275,55,1405,107,0,52,656,48,103,999,0,0,0,0,557,0,0,0,0,0,0,86,69,0,0,75,97,0,0,92,193,0,0,0,0,195,2393,1812,22,0,439,0,0,0,0,991,0,0
"Cell28",0,0,0,319,0,0,207,0,0,10,3175,0,0,524,0,0,0,0,0,0,0,4823,49,0,271,160,0,128,0,345,0,146,0,670,0,0,38,0,105,0,478,0,0,112,0,8730,0,0,6962,0,0,0,0,0,0,0,140,0,0,0,103,641,0,0,0,45,0,192,569,0,0,0,0,0,0,0,103,0,121,83,294,0,0,0,872,0,222,0,1088,0,0,0,636,0,765,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,211,345,0,0,5265,771,0,0,0,0,0,0,0,149,342,210,107,0,0,0,128,0,0,0,0,0,172,200,0,78,0,148,0,0,759,41,0,0,310,0,54,2532,210,0,0,797,53,0,1095,114,0,42,0,724,0,0,0,0,0,447,79,0,0,17,0,106,0,98,0,0,0,1130,0,0,365,3486,3192,0,0,505,0,0,81,420,1211,0,0
